query,sql,,,,,
Get the closing price of AAPL today,SELECT close FROM stocks WHERE symbol = 'AAPL' AND date = '2025-09-03',,,,,
Show me Apple's stock price for the last week,"SELECT symbol, date, close FROM stocks WHERE symbol = 'AAPL' AND date >= date('now', '-7 days') ORDER BY date ASC;",,,,,
What was Google's opening price yesterday?,SELECT open FROM stocks WHERE symbol = 'GOOGL' AND date = '2025-09-02',,,,,
Get all Tesla data for the past month,"SELECT * FROM stocks WHERE symbol = 'TSLA' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Show me the volume for Amazon over the last 5 days,"SELECT symbol, date, volume FROM stocks WHERE symbol = 'AMZN' AND date >= date('2025-09-03', '-5 days') ORDER BY date DESC",,,,,
What's the highest closing price for Netflix in the past year?,"SELECT date, MAX(close) FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-365 days') GROUP BY date;",,,,,
Get the lowest opening price for Microsoft this month,"SELECT MIN(open) as min_open FROM stocks WHERE symbol = 'MSFT' AND date >= date('2025-09-03', 'start of month')",,,,,
Show me all stocks that closed above $100 yesterday,"SELECT DISTINCT symbol, close FROM stocks WHERE date = '2025-09-02' AND close > 100 ORDER BY close DESC",,,,,
What's the average closing price of AAPL over the last 30 days?,"SELECT AVG(close) as avg_close FROM stocks WHERE symbol = 'AAPL' AND date >= date('2025-09-03', '-30 days')",,,,,
Calculate the total volume traded for GOOGL this week,"SELECT SUM(volume) as total_volume FROM stocks WHERE symbol = 'GOOGL' AND date >= date('2025-09-03', 'weekday 0', '-7 days')",,,,,
Show me the daily returns for Apple over the past 10 days,"SELECT symbol, date, close, LAG(close) OVER (ORDER BY date) as prev_close, (close - LAG(close) OVER (ORDER BY date)) / LAG(close) OVER (ORDER BY date) * 100 as daily_return FROM stocks WHERE symbol = 'AAPL' AND date >= date('2025-09-03', '-10 days') ORDER BY date DESC",,,,,
What's the 5-day moving average for Tesla's closing price?,"SELECT symbol, date, close, AVG(close) OVER (ORDER BY date ROWS BETWEEN 4 PRECEDING AND CURRENT ROW) as ma_5 FROM stocks WHERE symbol = 'TSLA' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Calculate the daily volatility for Amazon over the last 20 days,"SELECT symbol, date, (high - low) / close * 100 as daily_volatility FROM stocks WHERE symbol = 'AMZN' AND date >= date('2025-09-03', '-20 days') ORDER BY date DESC",,,,,
Show me the price range (high-low) for Netflix yesterday,"SELECT symbol, date, high, low, (high - low) as price_range FROM stocks WHERE symbol = 'NFLX' AND date = '2025-09-02'",,,,,
Get the percentage change from open to close for Microsoft today,"SELECT symbol, date, open, close, (close - open) / open * 100 as pct_change FROM stocks WHERE symbol = 'MSFT' AND date = '2025-09-03'",,,,,
What stocks had the highest volume yesterday?,"SELECT symbol, volume FROM stocks WHERE date = '2025-09-02' ORDER BY volume DESC LIMIT 10",,,,,
Show me Apple's performance compared to its 20-day average,"SELECT s.symbol, s.date, s.close, avg_20.avg_close, (s.close - avg_20.avg_close) / avg_20.avg_close * 100 as vs_avg FROM stocks s JOIN (SELECT AVG(close) as avg_close FROM stocks WHERE symbol = 'AAPL' AND date >= date('2025-09-03', '-20 days')) avg_20 WHERE s.symbol = 'AAPL' AND s.date = '2025-09-03'",,,,,
Calculate the Bollinger Bands for GOOGL over the past 20 days,"SELECT symbol, date, close, AVG(close) OVER (ORDER BY date ROWS 19 PRECEDING) as sma_20, AVG(close) OVER (ORDER BY date ROWS 19 PRECEDING) + 2 * sqrt(AVG(close * close) OVER (ORDER BY date ROWS 19 PRECEDING) - (AVG(close) OVER (ORDER BY date ROWS 19 PRECEDING)) * (AVG(close) OVER (ORDER BY date ROWS 19 PRECEDING))) as upper_band, AVG(close) OVER (ORDER BY date ROWS 19 PRECEDING) - 2 * sqrt(AVG(close * close) OVER (ORDER BY date ROWS 19 PRECEDING) - (AVG(close) OVER (ORDER BY date ROWS 19 PRECEDING)) * (AVG(close) OVER (ORDER BY date ROWS 19 PRECEDING))) as lower_band FROM stocks WHERE symbol = 'GOOGL' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Show me the relative strength index for Tesla,"SELECT symbol, date, close, 100 - (100 / (1 + (AVG(CASE WHEN close > LAG(close) OVER (ORDER BY date) THEN close - LAG(close) OVER (ORDER BY date) ELSE 0 END) OVER (ORDER BY date ROWS 13 PRECEDING)) / (AVG(CASE WHEN close < LAG(close) OVER (ORDER BY date) THEN LAG(close) OVER (ORDER BY date) - close ELSE 0 END) OVER (ORDER BY date ROWS 13 PRECEDING)))) as rsi FROM stocks WHERE symbol = 'TSLA' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
What's the highest intraday price movement for Amazon in the last month?,"SELECT MAX((high - low) / open * 100) as max_intraday_move FROM stocks WHERE symbol = 'AMZN' AND date >= date('2025-09-03', '-30 days')",,,,,
Show me all stocks that gapped up more than 5% today,"SELECT symbol, open, LAG(close) OVER (PARTITION BY symbol ORDER BY date) as prev_close, (open - LAG(close) OVER (PARTITION BY symbol ORDER BY date)) / LAG(close) OVER (PARTITION BY symbol ORDER BY date) * 100 as gap_pct FROM stocks WHERE date = '2025-09-03' HAVING gap_pct > 5 ORDER BY gap_pct DESC",,,,,
Calculate the average true range for Netflix over 14 days,"SELECT symbol, date, close, AVG(MAX(high - low, ABS(high - LAG(close) OVER (ORDER BY date)), ABS(low - LAG(close) OVER (ORDER BY date)))) OVER (ORDER BY date ROWS 13 PRECEDING) as atr_14 FROM stocks WHERE symbol = 'NFLX' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Get the weekly returns for Apple over the past 3 months,"SELECT symbol, date, close, LAG(close, 5) OVER (ORDER BY date) as week_ago_close, (close - LAG(close, 5) OVER (ORDER BY date)) / LAG(close, 5) OVER (ORDER BY date) * 100 as weekly_return FROM stocks WHERE symbol = 'AAPL' AND date >= date('2025-09-03', '-90 days') AND date('2025-09-03', 'weekday 0', '-' || ((julianday('2025-09-03') - julianday(date)) % 7) || ' days') = date ORDER BY date DESC",,,,,
Show me the momentum indicator for Google over 10 days,"SELECT symbol, date, close, (close - LAG(close, 10) OVER (ORDER BY date)) / LAG(close, 10) OVER (ORDER BY date) * 100 as momentum_10 FROM stocks WHERE symbol = 'GOOGL' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
What's the price efficiency ratio for Tesla?,"SELECT symbol, (close - (SELECT close FROM stocks s2 WHERE s2.symbol = 'TSLA' AND s2.date = date('2025-09-03', '-20 days'))) / (SELECT SUM(ABS(close - LAG(close) OVER (ORDER BY date))) FROM stocks s3 WHERE s3.symbol = 'TSLA' AND s3.date >= date('2025-09-03', '-20 days')) as efficiency_ratio FROM stocks WHERE symbol = 'TSLA' AND date = '2025-09-03'",,,,,
Calculate the Sharpe ratio for Amazon over the past year,"SELECT symbol, (AVG(daily_return) * 252) / (sqrt(252) * sqrt(AVG(daily_return * daily_return) - AVG(daily_return) * AVG(daily_return))) as sharpe_ratio FROM (SELECT symbol, date, (close - LAG(close) OVER (ORDER BY date)) / LAG(close) OVER (ORDER BY date) as daily_return FROM stocks WHERE symbol = 'AMZN' AND date >= date('2025-09-03', '-365 days')) GROUP BY symbol",,,,,
Show me the volume-weighted average price for Microsoft today,"SELECT symbol, date, SUM(close * volume) / SUM(volume) as vwap FROM stocks WHERE symbol = 'MSFT' AND date = '2025-09-03' GROUP BY symbol, date",,,,,
Get the maximum drawdown for Netflix over the past 6 months,"SELECT symbol, MIN((close - running_max) / running_max) * 100 as max_drawdown FROM (SELECT symbol, date, close, MAX(close) OVER (ORDER BY date ROWS UNBOUNDED PRECEDING) as running_max FROM stocks WHERE symbol = 'NFLX' AND date >= date('2025-09-03', '-180 days')) GROUP BY symbol",,,,,
